x,GSPC,IXIC,RUA.D,RUI.D,RUT.D,MLCR,MLGR,MLVL,MSCR,MSGR,MSVL,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE,SPXX,EFA,SP.L4,VWO,FPX1,SHCP,FTSE.,NIKI,GSPTSE
1927-12-30,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-03,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-04,17.719999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-05,17.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-06,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-09,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-10,17.370001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-11,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-12,17.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-13,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-16,17.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-17,17.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-18,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-19,17.379999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-20,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-23,17.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-24,17.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-25,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-26,17.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-27,17.690001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-30,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-31,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-01,17.530001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-02,17.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-03,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-06,17.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-07,17.440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-08,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-09,17.549999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-10,17.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-14,17.440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-15,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-16,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-17,17.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-20,16.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-21,17.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-23,17.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-24,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-27,17.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-28,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-02-29,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
